[ 2012-09-13T15:52:12+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005043s ]
[ 2012-09-13T15:52:12+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_end ] --START--
[ 2012-09-13T15:52:12+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ShowPageTrace Behavior [ RunTime:0.001436s ]
[ 2012-09-13T15:52:12+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_end ] --END-- [ RunTime:0.001618s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003191s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003833s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_template ] --START--
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run LocationTemplate Behavior [ RunTime:0.001259s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_template ] --END-- [ RunTime:0.001471s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_parse ] --START--
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ParseTemplate Behavior [ RunTime:0.030637s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030855s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_filter ] --START--
