[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ReadHtmlCache Behavior [ RunTime:0.012152s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012357s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_template ] --START--
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run LocationTemplate Behavior [ RunTime:0.017562s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_template ] --END-- [ RunTime:0.017737s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ParseTemplate Behavior [ RunTime:0.122734s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_parse ] --END-- [ RunTime:0.122891s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ContentReplace Behavior [ RunTime:0.007578s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run TokenBuild Behavior [ RunTime:0.008516s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run WriteHtmlCache Behavior [ RunTime:0.021387s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ShowRuntime Behavior [ RunTime:0.008193s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_filter ] --END-- [ RunTime:0.046089s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_end ] --START--
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ShowPageTrace Behavior [ RunTime:0.007653s ]
[ 2012-09-14T10:48:20+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_end ] --END-- [ RunTime:0.007802s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T10:48:25+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007620s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007851s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-14T10:48:25+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-14T10:48:25+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-14T10:48:25+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-14T10:48:25+08:00 ] /admin.php | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.004664s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | SQL: SELECT * FROM `yge_module` WHERE left_menu=1 and status=0 ORDER BY display_order DESC,id ASC  [ RunTime:0.000735s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | NOTIC: [8] Undefined variable: security IndexAction.class.php 第 23 行.
[ 2012-09-14T10:48:25+08:00 ] /admin.php | SQL: select version() [ RunTime:0.000355s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | SQL: SHOW COLUMNS FROM `yge_admin` [ RunTime:0.003652s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | SQL: SELECT * FROM `yge_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000394s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | SQL: SHOW COLUMNS FROM `yge_admin_log` [ RunTime:0.003284s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | SQL: INSERT INTO `yge_admin_log` (`user_id`,`username`,`action`,`ip`,`create_time`) VALUES (1,'lizhongyi','/admin.php','127.0.0.1',1347590905) [ RunTime:0.000387s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | INFO: Tag[ view_template ] --START--
[ 2012-09-14T10:48:25+08:00 ] /admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.013732s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.013882s ]
[ 2012-09-14T10:48:25+08:00 ] /admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T10:48:26+08:00 ] /admin.php | NOTIC: [8] Use of undefined constant menunames - assumed 'menunames' 8036b6ce8dcda916f02254a7b19498b1.php 第 58 行.
[ 2012-09-14T10:48:26+08:00 ] /admin.php | NOTIC: [8] Undefined variable: _TPL 8036b6ce8dcda916f02254a7b19498b1.php 第 58 行.
[ 2012-09-14T10:48:26+08:00 ] /admin.php | NOTIC: [8] Undefined variable: value 8036b6ce8dcda916f02254a7b19498b1.php 第 58 行.
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.337533s ]
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.337676s ]
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.008044s ]
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.006974s ]
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.006661s ]
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.007405s ]
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.029465s ]
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Tag[ view_end ] --START--
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.007632s ]
[ 2012-09-14T10:48:26+08:00 ] /admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.007793s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007999s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008201s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.004963s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | SQL: SELECT * FROM `yge_module` WHERE left_menu=1 and status=0 ORDER BY display_order DESC,id ASC  [ RunTime:0.002732s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: where conn.php 第 606 行.
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: where conn.php 第 606 行.
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | SQL: SHOW COLUMNS FROM `yge_category` [ RunTime:0.009980s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | SQL: SELECT * FROM `yge_category` ORDER BY display_order DESC,id DESC  [ RunTime:0.003140s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.004754s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | SQL: SELECT `id`,`module_title`,`module_name` FROM `yge_module`  [ RunTime:0.001705s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: uu HtmlAction.class.php 第 114 行.
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_template ] --START--
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | INFO: Run LocationTemplate Behavior [ RunTime:0.013527s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_template ] --END-- [ RunTime:0.013767s ]
[ 2012-09-14T10:48:29+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Use of undefined constant menunames - assumed 'menunames' 7ce6d65bb1a5230ad0361d516a4f5905.php 第 58 行.
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: _TPL 7ce6d65bb1a5230ad0361d516a4f5905.php 第 58 行.
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: value 7ce6d65bb1a5230ad0361d516a4f5905.php 第 58 行.
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Run ParseTemplate Behavior [ RunTime:0.264822s ]
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.264977s ]
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Run ContentReplace Behavior [ RunTime:0.007563s ]
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Run TokenBuild Behavior [ RunTime:0.007649s ]
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.008370s ]
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Run ShowRuntime Behavior [ RunTime:0.008299s ]
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.032320s ]
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_end ] --START--
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Run ShowPageTrace Behavior [ RunTime:0.010094s ]
[ 2012-09-14T10:48:30+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_end ] --END-- [ RunTime:0.010251s ]
[ 2012-09-14T11:06:51+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T11:06:51+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007246s ]
[ 2012-09-14T11:06:51+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007448s ]
[ 2012-09-14T11:06:51+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-14T11:06:51+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-14T11:06:51+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-14T11:06:51+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
