[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | SQL: SELECT * FROM `yge_category` ORDER BY display_order DESC,id DESC  [ RunTime:0.000905s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | SQL: SHOW COLUMNS FROM `yge_product` [ RunTime:0.004353s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  title ProductAction.class.php 第 55 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  orderBy ProductAction.class.php 第 56 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  orderType ProductAction.class.php 第 57 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  recommend ProductAction.class.php 第 58 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  categoryId ProductAction.class.php 第 59 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  status ProductAction.class.php 第 60 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  istop ProductAction.class.php 第 61 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  createTime ProductAction.class.php 第 62 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  createTime1 ProductAction.class.php 第 63 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  viewCount ProductAction.class.php 第 64 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  viewCount1 ProductAction.class.php 第 65 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  pageSize ProductAction.class.php 第 69 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | SQL: SELECT COUNT(*) AS tp_count FROM `yge_product` LIMIT 1   [ RunTime:0.000263s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | SQL: SELECT a.*,b.title as category FROM yge_product a LEFT JOIN yge_category b on a.category_id=b.id ORDER BY a.id DESC LIMIT 0,15   [ RunTime:0.001281s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | SQL: SHOW COLUMNS FROM `yge_admin_log` [ RunTime:0.042272s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | SQL: INSERT INTO `yge_admin_log` (`user_id`,`username`,`action`,`ip`,`create_time`) VALUES (1,'lizhongyi','/admin.php?a=index&m=Product&category=103','127.0.0.1',1347352539) [ RunTime:0.061317s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | INFO: Tag[ view_template ] --START--
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | INFO: Run LocationTemplate Behavior [ RunTime:0.012129s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | INFO: Tag[ view_template ] --END-- [ RunTime:0.012289s ]
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | INFO: Tag[ view_parse ] --START--
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Use of undefined constant menunames - assumed 'menunames' d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 58 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined variable: _TPL d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 58 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined variable: value d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 58 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  title d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 134 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  categoryId d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 135 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  userId d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 136 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  createTime d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 137 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  createTime1 d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 138 行.
[ 2012-09-11T16:35:39+08:00 ] /admin.php?a=index&m=Product&category=103 | NOTIC: [8] Undefined index:  recommend d2e35c8ee995f5ea8bcdd111a7689f7f.php 第 139 行.
